ROI_ID,Longitude,Latitude,Dicot_Count,Monocot_Count,Chenopodium_Count,log1p_Dicot_Count,log1p_Monocot_Count,log1p_Chenopodium_Count,logeps_Dicot_Count,logeps_Monocot_Count,logeps_Chenopodium_Count,x_25832,y_25832,fold
123,11.38824111,55.32287778,14,2,0,2.708050201,1.098612289,0,2.639064472,0.693197179,-9.210340372,651527.584,6133319.596,9
124,11.38824306,55.32290167,54,0,4,4.007333185,0,1.609437912,3.988985898,-9.210340372,1.386319361,651527.6162,6133322.258,1
125,11.38825361,55.32305528,16,1,3,2.833213344,0.693147181,1.386294361,2.772594972,1.00E-04,1.098645621,651527.6996,6133339.37,5
126,11.38824028,55.32281389,27,2,1,3.33220451,1.098612289,0.693147181,3.29584057,0.693197179,1.00E-04,651527.7749,6133312.487,5
127,11.38825861,55.32308611,34,1,1,3.555348061,0.693147181,0.693147181,3.526363466,1.00E-04,1.00E-04,651527.8991,6133342.812,4
128,11.38824111,55.32277639,20,0,0,3.044522438,0,0,2.995737274,-9.210340372,-9.210340372,651527.9709,6133308.317,3
129,11.38826667,55.32310417,7,0,0,2.079441542,0,0,1.945924435,-9.210340372,-9.210340372,651528.3412,6133344.838,5
130,11.38826139,55.32294306,33,1,2,3.526360525,0.693147181,1.098612289,3.496510592,1.00E-04,0.693197179,651528.6212,6133326.903,2
131,11.38825806,55.32285917,25,1,0,3.258096538,0.693147181,0,3.218879825,1.00E-04,-9.210340372,651528.7299,6133317.563,6
132,11.38826556,55.3229625,18,2,2,2.944438979,1.098612289,1.098612289,2.890377313,0.693197179,0.693197179,651528.8113,6133329.075,8
133,11.38826778,55.32292,80,2,8,4.394449155,1.098612289,2.197224577,4.382027885,0.693197179,2.079454042,651529.1145,6133324.351,7
134,11.38827583,55.32298611,20,1,0,3.044522438,0.693147181,0,2.995737274,1.00E-04,-9.210340372,651529.3732,6133331.724,7
135,11.38826639,55.32279278,24,0,1,3.218875825,0,0.693147181,3.178057997,-9.210340372,1.00E-04,651529.5118,6133310.195,1
136,11.38826917,55.32283389,27,0,1,3.33220451,0,0.693147181,3.29584057,-9.210340372,1.00E-04,651529.5311,6133314.775,6
137,11.38828528,55.32305583,24,0,1,3.218875825,0,0.693147181,3.178057997,-9.210340372,1.00E-04,651529.7062,6133339.501,1
138,11.38827556,55.3228775,9,1,1,2.302585093,0.693147181,0.693147181,2.197235688,1.00E-04,1.00E-04,651529.77,6133319.64,7
139,11.38827778,55.32290167,40,0,2,3.713572067,0,1.098612289,3.688881954,-9.210340372,0.693197179,651529.8188,6133322.334,5
140,11.38827528,55.32281417,26,2,2,3.295836866,1.098612289,1.098612289,3.258100384,0.693197179,0.693197179,651529.994,6133312.594,8
141,11.38829306,55.32308611,38,0,3,3.663561646,0,1.386294361,3.637588791,-9.210340372,1.098645621,651530.0841,6133342.886,4
142,11.38827556,55.32277639,23,1,0,3.17805383,0.693147181,0,3.135498564,1.00E-04,-9.210340372,651530.1558,6133308.392,8
